Task ID,TF1,TF2,TF3,TF4,TF6,TF8,TF10,TF12,TF14,TF16,TF17,TF18,TF19,TF20,TF21,TF22,TF23,TF24,TF25,TF26,TF27,TF28,TF29,TF30,TF32,TF33,TF34,TF36,TF37,TF40,TF41,TF44,TF45,TF48,TF49,TF52,TF54,TF56,TF58,TF60,TF62,TF65,TF67,TF68,TF69,TF70,TF71,TF72,TF73,TF74,TF76,TF77,TF78,TF80,TF81,TF82,TF83,TF85,TF86,TF87,TF89,TF90,TF91,TF93,TF94,TF95,TF97,TF98,TF99,TF101,TF102,TF103,TF105,TF106,TF107,TF109,TF110,TF111,TF113,TF115
T1,0.4702549575070822,0.589293614511134,0.8242715987496543,0.5858246556936513,0.7032899893237518,0.5252918287937743,0.7686813366769745,0.6948790896159318,0.8962955826367434,0.09479596515360011,0.127437085839047,0.22969855943262715,0.8313659359190555,0.0,0.8363710833503994,0.23378971841901325,0.7652173913043477,0.8825448269410384,0.8319962906147573,1.0,0.270606618672917,0.5228942123135994,0.34128575836389174,0.19618528610354224,0.20740560784535308,0.2850508765231735,0.37209302325581395,0.8646080760095013,0.7724585453489632,0.6234429242393302,0.8733036788131199,0.6684155299055614,0.956578584233782,0.6275679257786614,0.8186647407908922,0.20160167130919218,0.6504857722124122,0.6488796050132929,0.8809420149545093,0.6151761517615176,0.9056467276172544,0.7587293728350061,0.0008365780657383432,2.017970871431292e-05,0.0005001250312578144,2.169092837173431e-05,0.5193798449612403,0.2370819195346582,0.1701094040048975,0.34986595174262736,0.42837331393684186,0.41033590160163613,1.0,0.3333333333333333,0.3041618645153028,0.20368370355235127,0.23576512455516013,0.3315757531700222,0.2116468760171133,0.35893790172612117,0.1373731063563954,0.11665973089194062,0.21421520236920039,0.2134707404741732,0.2153694059151628,0.24574500309265007,0.2579767029627754,0.1963979138997765,0.28975609756097565,0.39445815499700543,0.3401379320192729,0.5019861725588367,0.0034320809248554905,0.012123021797551507,0.04019292604501608,0.02531948977184082,0.08678071957538312,0.1754002963253155,0.29805249788314986,0.469404176454874
T2,0.0,0.6879516295531632,0.36645998434884364,0.42055760833053407,0.5028530704337186,0.3778642455685257,0.3284755319531113,0.45163584637268844,0.3398274859882072,0.9662998624484187,0.8688091316505153,0.614115893112547,1.0,0.03162055335968379,0.23264386647552726,0.9630586411779904,0.6,0.366807020346515,0.33284447630893244,0.3511253291860673,0.04739382778056811,0.7742457897343828,0.5916690560156265,0.5803814713896458,0.40258520064568004,0.3460460113403401,0.4883720930232558,0.6793349168646081,0.5059518262588433,0.4584439452726159,0.36949995321311546,0.5697796432318993,0.439459122552126,0.4526176275679258,0.36429593096874036,0.7430362116991643,0.28233887256131196,0.480630459551842,0.3951011082520237,0.4223770809136663,0.3813190624992061,0.3561392487385693,0.000895196760831842,6.621466921883925e-06,0.0005001250312578144,3.1331340981394e-05,0.7674418604651163,0.5088705768298594,0.5751017022789209,0.7024128686327078,0.33198041710868353,0.2800652153131167,0.3957803506940948,0.0,0.46922781406069913,0.5625383111007327,0.5560498220640568,0.1825285807256653,0.12750574558614147,0.2147638350410345,0.5418085272528502,0.603939520044389,0.6169792694965448,0.32959110944376946,0.2857235133461245,0.2705159704663787,0.40899594834135233,0.4496129053156684,0.5960975609756097,0.19860553700993414,0.15834097317279577,0.27195795168687764,0.19454479768786126,0.326246640788295,0.7033762057877814,0.24960439153153802,0.37633256685533445,0.41722852420919704,0.44199830651989835,0.4822737398781821
T3,0.6643059490084986,0.474708745022858,0.6820010470854105,0.3389318105475311,0.4125982965506923,0.3778642455685257,0.6006708520893363,0.4231863442389759,0.7047231244650318,0.27258138468592463,0.18604205768567816,0.18196304992853102,0.8313659359190555,0.9433465085638999,0.49129633422076613,0.6298114182381815,0.773913043478261,0.6851659731824006,0.760767998171684,0.9199457236950082,0.20969362129583125,0.39254521886329774,0.2520635750511905,0.1180744777475023,0.18874199395321692,0.2526031397208439,0.37209302325581395,0.5320665083135392,0.5126743687385344,0.4031039411884827,0.6648519948103928,0.497376705141658,0.7908777870853203,0.3943008614976806,0.5944395970653668,0.3555013927576602,0.6728198090532139,0.4173946069122674,0.6612503725850264,0.42624854819976776,0.6810535664435091,0.5687125311457271,0.0003229851279323905,0.0003746909456589873,0.0005001250312578144,9.640412609659692e-06,0.06201550387596899,0.21066408143480372,0.22477191042300243,0.30831099195710454,0.1793212111629403,0.14460577925932194,0.5523644060506542,0.3333333333333333,0.2043795620437956,0.13876645552993377,0.20551601423487542,0.14358103706372927,0.0684599842713654,0.1922258983251978,0.06668749023895049,0.03731446802607849,0.1846001974333662,0.09343947081274526,0.09845545763907443,0.20464790778095981,0.18165991390225383,0.1479381944219494,0.13365853658536586,0.16691705796418058,0.11628451703445947,0.2718928888279515,0.031611271676300574,0.07784413257688863,0.3167202572347267,0.06975231044849609,0.20346687163962573,0.5587040541442724,0.5723962743437765,0.3210417358509351
T4,0.7492917847025496,0.8855626013862262,0.9001501815146111,0.6701377225394693,0.7587255286932878,0.5408560311284046,0.7762271358595434,0.7290184921763869,0.9147396734468272,0.8813235518875135,0.845328839008695,0.6539604632128007,1.0,0.0,0.20827360229367198,0.8837509687419274,0.7913043478260869,0.9564081745177734,0.9680199723741123,0.999646242231949,0.06804230146771582,0.8236556082875406,0.7258705579972914,0.779291553133515,0.3109226117686874,0.24526239348421397,0.37209302325581395,0.8693586698337291,0.7614627710541321,0.6077190116397795,0.8641969709528188,0.6873032528856243,0.9703935896491385,0.6070245195493705,0.8031247135826414,0.9272284122562674,0.8907658677261802,0.6346372958602355,0.8713884114166157,0.5993031358885017,0.901679392685665,0.7467689166041596,0.0008742337837785377,1.481947358707355e-05,0.0005001250312578144,2.169092837173431e-05,0.5193798449612403,0.6779932137663596,0.7292152138710057,0.7198391420911529,0.5231768897471519,0.39734328842641675,0.964060741097593,0.40625,0.6534511461134588,0.7763507399515457,0.7455516014234875,0.3179141007942191,0.1861388803962557,0.34548603382263054,0.6357020146806184,0.7706478013594119,0.8262586377097728,0.34997095171080267,0.2672567690637236,0.21257239852000354,0.5682767789313751,0.6092449224190988,0.7141463414634146,0.36980772544283913,0.28202763139863973,0.4848977370221824,0.1427023121387283,0.2670349358017319,0.8014469453376206,0.17270539869873422,0.27807878920866835,0.42491291389249025,0.2887383573243014,0.36765451734083027
T5,0.0,0.5367939831883203,0.29681710662366356,0.2848505206583809,0.3954742700493615,0.3523562472978815,0.28210070193011605,0.41322901849217636,0.3108231069467071,0.803912578327985,0.8255640249741447,0.6856043987989896,1.0,0.023715415019762848,0.35121851320909303,0.9225006458279517,0.6260869565217392,0.24496212397470096,0.1897803039197462,0.12897947021838707,0.12482560410737206,0.5623885396043354,0.34994762630661536,0.34059945504087197,0.3118439161814769,0.29683008369077957,0.4883720930232558,0.5605700712589073,0.37548405906051835,0.36675515621809274,0.30712613205949435,0.5026232948583421,0.37777793831180695,0.3565275016567263,0.2924450282008123,0.5598885793871866,0.22318365779489252,0.38587162932016716,0.3227783531409293,0.34610917537746805,0.31454362533876545,0.2890201822414914,0.0009724492133060556,4.918803999113773e-05,0.001000250062515629,0.0010941868311963752,0.7984496124031008,0.25395055744062045,0.2942454283344523,0.4155495978552278,0.14992132491423815,0.09307756301080972,0.17423643656296128,0.04166666666666666,0.2276347803816109,0.23135526431010828,0.2784697508896797,0.09050240355430711,0.03980328935608057,0.11460186942648046,0.27702639387786976,0.27254820363434595,0.3040473840078973,0.18373992133069295,0.13520696273706706,0.15755940902113075,0.18485692580400104,0.17038644682711934,0.2936585365853659,0.09167722216575988,0.061282298346916175,0.1557845537109546,0.11428227360308284,0.21283965362794866,0.4557877813504823,0.16880303793799525,0.28638875991445445,0.31520241030478463,0.05334462320067739,0.035084658697077435
T6,0.0169971671388102,0.32989234626161335,0.1622473849174312,0.03997312730937186,0.07856682252149337,0.2875054042369217,0.25888942680818106,0.25177809388335703,0.19047101965216043,0.9209460492129002,1.0,0.587122088912423,1.0,0.9433465085638999,0.22158509113250058,0.9927667269439424,0.408695652173913,0.14007446242883792,0.005628825764860845,0.0,0.09040683073832245,0.457200754582064,0.36405833550937117,0.34059945504087197,0.33089436923624316,0.2579129920227272,0.37209302325581395,0.33729216152019004,0.2864165031331719,0.15621809270982231,0.10440386548979966,0.2864637985309549,0.2264302994812949,0.153523304616744,0.09677731679770293,0.46309192200557103,0.21530322205128974,0.1722369920243069,0.1295532208560672,0.28339140534262486,0.2509531455989669,0.03650049023268448,0.0008917029313229578,0.0,0.0005001250312578144,9.640412609659692e-06,0.875968992248062,0.3195346582646631,0.37793751727951325,0.3672922252010724,0.08001002779124489,0.025474518681876113,0.0,0.03125,0.30915610193366627,0.3772439359000555,0.32206405693950174,0.07388850877075237,0.009823646842936018,0.037430862418984884,0.387006090894893,0.40191427382438627,0.35340572556762084,0.1762437017206524,0.05405354836221282,0.0,0.24569511268675615,0.2902400310971462,0.3463414634146341,0.05711964151324392,0.0,0.0,0.12144749518304432,0.19844729770080619,0.4967845659163987,0.17130203287776774,0.24598668526868817,0.3026530635128045,0.23539373412362402,0.24854126704511997
T7,0.7861189801699717,0.41395074472791615,0.6445816007491821,0.22573060127645278,0.29116661735313687,0.311284046692607,0.5479429143517636,0.3150782361308677,0.6218328562282501,0.31216567323857625,0.18757421381238748,0.14546766051912624,0.8313659359190555,0.9433465085638999,0.426377227114479,0.6455696202531647,0.7391304347826088,0.6638316026580863,0.7605448197181204,0.9210305168024888,0.20969362129583125,0.3444997600767774,0.20452661116572193,0.1180744777475023,0.15054427114697663,0.23077913378339132,0.37209302325581395,0.48218527315914483,0.48948032375843614,0.32407596487645496,0.6068924900547975,0.4931794333683106,0.7803914131757665,0.30505853766291147,0.5298161971510331,0.3541086350974931,0.6730783462837922,0.33991644511963537,0.606289755559256,0.3631436314363144,0.6350596553930306,0.514677409761477,0.0002333101705377003,0.0003939247305273168,0.00025006251562890725,7.230309457244765e-06,0.054263565891472854,0.17619970916141545,0.2263517516489592,0.30831099195710454,0.1397997103808647,0.14656271990119096,0.5533116437440458,0.35416666666666663,0.15018568318606734,0.12767447969876528,0.20551601423487542,0.10554122707228414,0.055273532662379055,0.1922258983251978,0.035702014680618455,0.016756831738105132,0.1846001974333662,0.05362328852296794,0.06673143666354642,0.20464790778095981,0.1300962268928843,0.1253279777137119,0.13365853658536586,0.12469109211734883,0.09873144359273062,0.26967589576006523,0.03492292870905587,0.08166616900567335,0.3167202572347267,0.07705733120648228,0.21362248206750795,0.5587040541442724,0.615580016934801,0.4004075226742948
T8,0.7691218130311616,0.4146880991004276,0.644275393056147,0.2240510581121935,0.2869476961843567,0.3125810635538262,0.5471332515121841,0.3108108108108108,0.617193965763514,0.30922359773804153,0.19014057532462558,0.14448849233346722,0.8313659359190555,0.9433465085638999,0.4286299406102807,0.6466029449754587,0.7565217391304347,0.6490611737983066,0.7535960600183027,0.9214663803892662,0.20969362129583125,0.33617341042415894,0.20182791424727495,0.1180744777475023,0.15229480672651893,0.2367928176394254,0.37209302325581395,0.48456057007125886,0.4887032320118658,0.32448437819072906,0.606313801316281,0.49422875131164745,0.7798922719137737,0.3055003313452618,0.5291959223641713,0.35480501392757663,0.6734130530642395,0.34048613748575773,0.6056728825258897,0.3643050716221448,0.6359444875177742,0.5131777041581972,0.0002333101705377003,0.0003936094225786556,0.00025006251562890725,7.230309457244765e-06,0.054263565891472854,0.17508482792050414,0.2259172953118211,0.30831099195710454,0.13660072700760406,0.14591458187301487,0.5537811730440538,0.35416666666666663,0.14985273402484317,0.12796637379958553,0.20551601423487542,0.10497134905948435,0.055580329599238754,0.1922258983251978,0.036545369358113394,0.018310445276737447,0.1846001974333662,0.05349426206362279,0.06705433941260391,0.20464790778095981,0.12962142314510006,0.12464772764082799,0.13365853658536586,0.12370541674508909,0.0987719249375732,0.270067598974823,0.03486271676300578,0.08160644968647357,0.3167202572347267,0.07695951691179957,0.21348998307762124,0.5587040541442724,0.5977984758679086,0.3652104267398183
T9,0.00141643059490085,0.7462026249815661,0.35337711963025986,0.33154182062479004,0.28606956638037623,0.5101599654128837,0.46887068934235754,0.5028449502133714,0.36098631000607984,0.9828442610423354,0.9598958133833839,0.5775835163904581,1.0,0.9433465085638999,0.1841081302477987,0.9953500387496772,0.5652173913043478,0.37005596271194574,0.3405160246630716,0.28400662447180736,0.004185501423070483,0.8862139115483059,0.8720427416412228,0.9999999999999999,0.4445122777035613,0.35797308332417277,0.4883720930232558,0.6199524940617577,0.43622749777515996,0.4508882989585461,0.3257967732632836,0.6432318992654774,0.4465412372083764,0.42345924453280326,0.303426778072004,0.9021587743732591,0.33964343406601477,0.4688568173186479,0.34713579122625127,0.5369725125822687,0.4852207734712916,0.2171507826062585,0.0009037372329646695,5.044927178578232e-06,0.0005001250312578144,1.9280825219319383e-05,0.7054263565891473,0.8811924381968007,1.0,0.9999999999999999,0.5035121214470683,0.37716915002202833,0.2894197430447675,0.0625,0.7602766039185554,0.9675705653988735,0.8202846975088967,0.2526485930764852,0.19973835786044492,0.2322743131811437,0.9014212088083711,1.0,0.928923988153998,0.4613681738599527,0.34153146445324206,0.21966692014377615,0.6537097999493544,0.7789835120339477,0.8575609756097562,0.24096633426219496,0.1486579915217675,0.14883920800069386,0.2613800578034682,0.4908928038220365,0.7443729903536977,0.3224398491334856,0.5260565019694318,0.4150987753912117,0.3590177815410669,0.2622161171787102
T10,0.8201133144475921,0.42737059430762425,0.6513232271621945,0.2096069868995633,0.2717146104456631,0.3277129269347168,0.5619367400418426,0.3342816500711238,0.6371424519731793,0.2973406694176992,0.18722947868387785,0.15861230745640376,0.8313659359190555,0.9433465085638999,0.44050788449723544,0.6414363213639889,0.7478260869565218,0.6657373636615119,0.755649264185096,0.9214663803892662,0.20969362129583125,0.35480135718272376,0.21009874319178243,0.1180744777475023,0.13685685201200629,0.21180217831528997,0.37209302325581395,0.515439429928741,0.5382206551140796,0.33796201756177247,0.6099356181451796,0.5057712486883525,0.7994470696488978,0.32052131654517346,0.5354028761320505,0.3572423398328691,0.6751838541831482,0.35548803646031146,0.6151102611453092,0.3875338753387534,0.6573839502349386,0.5138228771256096,0.0002577669770998886,0.0003909818563398128,0.0005001250312578144,7.230309457244765e-06,0.054263565891472854,0.1809500727096461,0.22465342233105567,0.30831099195710454,0.13762079666001248,0.14246874338237114,0.5547380510609603,0.34375,0.1562043795620438,0.12711988090720683,0.20551601423487542,0.10944651904834846,0.05427967670115086,0.1922258983251978,0.029142589411213476,0.008683589956998222,0.1846001974333662,0.04640931362598158,0.05677277860845109,0.20464790778095981,0.13785135477336036,0.13164458553334846,0.13365853658536586,0.13050156419779382,0.10390201051890441,0.2701972476922433,0.03414017341040462,0.08077037921767692,0.3167202572347267,0.07531516384776761,0.21124889017487275,0.5587040541442724,0.5647756138865369,0.3219194940379705
